name,level,value,computedValue,fallback,feedbackValue,deprecatedComment,value.font-family,value.font-weight,value.line-height,value.font-size,value.letter-spacing,computedValue.font-family,computedValue.font-weight,computedValue.line-height,computedValue.font-size,computedValue.letter-spacing
sys.space.x5,sys,{base.unit} * 5,0.25rem * 5,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.space.x6,sys,{base.unit} * 6,0.25rem * 6,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.space.x8,sys,{base.unit} * 8,0.25rem * 8,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.space.x10,sys,{base.unit} * 10,0.25rem * 10,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.space.x14,sys,{base.unit} * 14,0.25rem * 14,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.space.x16,sys,{base.unit} * 16,0.25rem * 16,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.space.x20,sys,{base.unit} * 20,0.25rem * 20,,,Use semantic padding and gap values instead,,,,,,,,,,
sys.font-size.subtext.small,sys,{base.font-size.25},0.625rem,,,,,,,,,,,,,
sys.font-size.subtext.medium,sys,{base.font-size.50},0.625rem + 0.125rem,,,,,,,,,,,,,
sys.font-size.subtext.large,sys,{base.font-size.75},0.625rem + 0.125rem + 0.125rem,,,,,,,,,,,,,
sys.font-size.body.small,sys,{base.font-size.100},0.625rem + 0.125rem + 0.125rem + 0.125rem,,,,,,,,,,,,,
sys.font-size.body.medium,sys,{base.font-size.125},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem,,,,,,,,,,,,,
sys.font-size.body.large,sys,{base.font-size.150},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem,,,,,,,,,,,,,
sys.font-size.heading.small,sys,{base.font-size.200},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2,,,,,,,,,,,,,
sys.font-size.heading.medium,sys,{base.font-size.250},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2,,,,,,,,,,,,,
sys.font-size.heading.large,sys,{base.font-size.300},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2,,,,,,,,,,,,,
sys.font-size.title.small,sys,{base.font-size.400},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2,,,,,,,,,,,,,
sys.font-size.title.medium,sys,{base.font-size.500},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2,,,,,,,,,,,,,
sys.font-size.title.large,sys,{base.font-size.600},0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2,,,,,,,,,,,,,
sys.line-height.subtext.small,sys,{base.line-height.50},16,,,,,,,,,,,,,
sys.line-height.subtext.medium,sys,{base.line-height.50},16,,,,,,,,,,,,,
sys.line-height.subtext.large,sys,{base.line-height.100},20,,,,,,,,,,,,,
sys.line-height.body.small,sys,{base.line-height.150},24,,,,,,,,,,,,,
sys.line-height.body.medium,sys,{base.line-height.200},28,,,,,,,,,,,,,
sys.line-height.body.large,sys,{base.line-height.200},28,,,,,,,,,,,,,
sys.line-height.heading.small,sys,{base.line-height.250},32,,,,,,,,,,,,,
sys.line-height.heading.medium,sys,{base.line-height.300},36,,,,,,,,,,,,,
sys.line-height.heading.large,sys,{base.line-height.350},40,,,,,,,,,,,,,
sys.line-height.title.small,sys,{base.line-height.400},48,,,,,,,,,,,,,
sys.line-height.title.medium,sys,{base.line-height.500},56,,,,,,,,,,,,,
sys.line-height.title.large,sys,{base.line-height.600},64,,,,,,,,,,,,,
sys.type.subtext.small,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.normal}"",""line-height"":""{sys.line-height.subtext.small}"",""font-size"":""{sys.font-size.subtext.small}"",""letter-spacing"":""{base.letter-spacing.50}""}","{""font-family"":""Roboto"",""font-weight"":""Regular"",""line-height"":16,""font-size"":""0.625rem"",""letter-spacing"":0.4}",,,,{sys.font-family.default},{sys.font-weight.normal},{sys.line-height.subtext.small},{sys.font-size.subtext.small},{base.letter-spacing.50},Roboto,Regular,16,0.625rem,0.4
sys.type.subtext.medium,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.normal}"",""line-height"":""{sys.line-height.subtext.medium}"",""font-size"":""{sys.font-size.subtext.medium}"",""letter-spacing"":""{base.letter-spacing.100}""}","{""font-family"":""Roboto"",""font-weight"":""Regular"",""line-height"":16,""font-size"":""0.625rem + 0.125rem"",""letter-spacing"":0.32}",,,,{sys.font-family.default},{sys.font-weight.normal},{sys.line-height.subtext.medium},{sys.font-size.subtext.medium},{base.letter-spacing.100},Roboto,Regular,16,0.625rem + 0.125rem,0.32
sys.type.subtext.large,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.normal}"",""line-height"":""{sys.line-height.subtext.large}"",""font-size"":""{sys.font-size.subtext.large}"",""letter-spacing"":""{base.letter-spacing.150}""}","{""font-family"":""Roboto"",""font-weight"":""Regular"",""line-height"":20,""font-size"":""0.625rem + 0.125rem + 0.125rem"",""letter-spacing"":0.24}",,,,{sys.font-family.default},{sys.font-weight.normal},{sys.line-height.subtext.large},{sys.font-size.subtext.large},{base.letter-spacing.150},Roboto,Regular,20,0.625rem + 0.125rem + 0.125rem,0.24
sys.type.body.small,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.normal}"",""line-height"":""{sys.line-height.body.small}"",""font-size"":""{sys.font-size.body.small}"",""letter-spacing"":""{base.letter-spacing.200}""}","{""font-family"":""Roboto"",""font-weight"":""Regular"",""line-height"":24,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem"",""letter-spacing"":0.16}",,,,{sys.font-family.default},{sys.font-weight.normal},{sys.line-height.body.small},{sys.font-size.body.small},{base.letter-spacing.200},Roboto,Regular,24,0.625rem + 0.125rem + 0.125rem + 0.125rem,0.16
sys.type.body.medium,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.normal}"",""line-height"":""{sys.line-height.body.medium}"",""font-size"":""{sys.font-size.body.medium}""}","{""font-family"":""Roboto"",""font-weight"":""Regular"",""line-height"":28,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem""}",,,,{sys.font-family.default},{sys.font-weight.normal},{sys.line-height.body.medium},{sys.font-size.body.medium},,Roboto,Regular,28,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem,
sys.type.body.large,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.normal}"",""line-height"":""{sys.line-height.body.large}"",""font-size"":""{sys.font-size.body.large}""}","{""font-family"":""Roboto"",""font-weight"":""Regular"",""line-height"":28,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem""}",,,,{sys.font-family.default},{sys.font-weight.normal},{sys.line-height.body.large},{sys.font-size.body.large},,Roboto,Regular,28,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem,
sys.type.heading.small,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.bold}"",""line-height"":""{sys.line-height.heading.small}"",""font-size"":""{sys.font-size.heading.small}""}","{""font-family"":""Roboto"",""font-weight"":""Bold"",""line-height"":32,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2""}",,,,{sys.font-family.default},{sys.font-weight.bold},{sys.line-height.heading.small},{sys.font-size.heading.small},,Roboto,Bold,32,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2,
sys.type.heading.medium,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.bold}"",""line-height"":""{sys.line-height.heading.medium}"",""font-size"":""{sys.font-size.heading.medium}""}","{""font-family"":""Roboto"",""font-weight"":""Bold"",""line-height"":36,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2""}",,,,{sys.font-family.default},{sys.font-weight.bold},{sys.line-height.heading.medium},{sys.font-size.heading.medium},,Roboto,Bold,36,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2,
sys.type.heading.large,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.bold}"",""line-height"":""{sys.line-height.heading.large}"",""font-size"":""{sys.font-size.heading.large}""}","{""font-family"":""Roboto"",""font-weight"":""Bold"",""line-height"":40,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2""}",,,,{sys.font-family.default},{sys.font-weight.bold},{sys.line-height.heading.large},{sys.font-size.heading.large},,Roboto,Bold,40,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2,
sys.type.title.small,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.bold}"",""line-height"":""{sys.line-height.title.small}"",""font-size"":""{sys.font-size.title.small}""}","{""font-family"":""Roboto"",""font-weight"":""Bold"",""line-height"":48,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2""}",,,,{sys.font-family.default},{sys.font-weight.bold},{sys.line-height.title.small},{sys.font-size.title.small},,Roboto,Bold,48,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2,
sys.type.title.medium,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.bold}"",""line-height"":""{sys.line-height.title.medium}"",""font-size"":""{sys.font-size.title.medium}""}","{""font-family"":""Roboto"",""font-weight"":""Bold"",""line-height"":56,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2""}",,,,{sys.font-family.default},{sys.font-weight.bold},{sys.line-height.title.medium},{sys.font-size.title.medium},,Roboto,Bold,56,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2,
sys.type.title.large,sys,"{""font-family"":""{sys.font-family.default}"",""font-weight"":""{sys.font-weight.bold}"",""line-height"":""{sys.line-height.title.large}"",""font-size"":""{sys.font-size.title.large}""}","{""font-family"":""Roboto"",""font-weight"":""Bold"",""line-height"":64,""font-size"":""0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2""}",,,,{sys.font-family.default},{sys.font-weight.bold},{sys.line-height.title.large},{sys.font-size.title.large},,Roboto,Bold,64,0.625rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2 + 0.125rem * 2 * 2,
sys.color.bg.primary.softest,sys,{base.palette.blue.25},oklch(0.969 0.0155 248.07 / 1),,,Use sys.color.brand.surface.primary.default instead,,,,,,,,,,
sys.color.bg.primary.softer,sys,{base.palette.blue.50},oklch(0.9523 0.0239 248.12 / 1),,,Use sys.color.brand.surface.primary.strong tokens instead,,,,,,,,,,
sys.color.bg.primary.soft,sys,{base.palette.blue.100},oklch(0.928 0.0359 250.6 / 1),,,Use sys.color.brand.surface.primary.default tokens instead,,,,,,,,,,
sys.color.bg.primary.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.brand.accent.primary instead,,,,,,,,,,
sys.color.bg.primary.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.brand.accent.primary instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.bg.primary.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.brand.accent.primary instead with sys.color.accent.overlay.pressed,,,,,,,,,,
sys.color.bg.transparent.default,sys,oklch({base.palette.neutral.1000} / {base.opacity.0}),oklch(oklch(0 0 0 / 1) / 0),,,Use sys.color.surface.transparent instead,,,,,,,,,,
sys.color.bg.transparent.strong,sys,oklch({base.palette.neutral.1000} / {base.opacity.100}),oklch(oklch(0 0 0 / 1) / 8),,,Use sys.color.surface.overlay.hover.default tokens instead,,,,,,,,,,
sys.color.bg.transparent.stronger,sys,oklch({base.palette.neutral.1000} / {base.opacity.250}),oklch(oklch(0 0 0 / 1) / 20),,,Use sys.color.surface.overlay.pressed.default tokens instead,,,,,,,,,,
sys.color.bg.overlay,sys,oklch({base.palette.neutral.1000} / {base.opacity.400}),oklch(oklch(0 0 0 / 1) / 40),,,Use sys.color.surface.overlay.scrim instead,,,,,,,,,,
sys.color.bg.translucent,sys,oklch({base.palette.neutral.1000} / {base.opacity.500}),oklch(oklch(0 0 0 / 1) / 84),,,Use sys.color.surface.contrast.default tokens instead,,,,,,,,,,
sys.color.bg.alt.softer,sys,{base.palette.slate.25},oklch(0.9846 0.0018 248.57 / 1),,,Use sys.color.surface.raised tokens instead,,,,,,,,,,
sys.color.bg.alt.soft,sys,{base.palette.slate.50},oklch(0.9692 0.0035 248.23 / 1),,,Use sys.color.surface.alt.default instead,,,,,,,,,,
sys.color.bg.alt.strong,sys,{base.palette.slate.200},oklch(0.917 0.0081 254 / 1),,,Use sys.color.surface.default tokens instead with sys.color.surface.overlay.hover,,,,,,,,,,
sys.color.bg.alt.stronger,sys,{base.palette.slate.300},oklch(0.856 0.0111 256.85 / 1),,,Use sys.color.surface.alt.default with sys.color.surface.overlay.pressed,,,,,,,,,,
