name,level,value,computedValue,fallback,feedbackValue,deprecatedComment,value.font-family,value.font-weight,value.line-height,value.font-size,value.letter-spacing,computedValue.font-family,computedValue.font-weight,computedValue.line-height,computedValue.font-size,computedValue.letter-spacing
sys.color.bg.ai.default,sys,{base.palette.blue.100},oklch(0.928 0.0359 250.6 / 1),,,Use sys.color.surface.ai.default instead,,,,,,,,,,
sys.color.bg.ai.strong,sys,{base.palette.blue.200},oklch(0.8627 0.0701 250.6 / 1),,,Use sys.color.surface.ai.hover instead,,,,,,,,,,
sys.color.bg.ai.stronger,sys,{base.palette.blue.400},oklch(0.708 0.1549 255.41 / 1),,,Use sys.color.surface.ai.pressed instead,,,,,,,,,,
sys.color.bg.ai.strongest,sys,{base.palette.blue.950},oklch(0.2452 0.0752 254.55 / 1),,,Use sys.color.accent.ai instead,,,,,,,,,,
sys.color.bg.info.softest,sys,{base.palette.blue.25},oklch(0.969 0.0155 248.07 / 1),,,Use sys.color.surface.info.default instead,,,,,,,,,,
sys.color.bg.info.softer,sys,{base.palette.blue.50},oklch(0.9523 0.0239 248.12 / 1),,,Use sys.color.surface.info.strong instead,,,,,,,,,,
sys.color.bg.info.soft,sys,{base.palette.blue.100},oklch(0.928 0.0359 250.6 / 1),,,Use sys.color.surface.info.default tokens instead,,,,,,,,,,
sys.color.bg.info.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.accent.info instead,,,,,,,,,,
sys.color.bg.info.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.accent.info instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.bg.info.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.accent.info instead with sys.color.accent.overlay.pressed,,,,,,,,,,
sys.color.text.default,sys,{base.palette.neutral.800},oklch(0.3523 0 0 / 1),,,Use sys.color.fg.default instead,,,,,,,,,,
sys.color.text.strong,sys,{base.palette.neutral.900},oklch(0.2891 0 0 / 1),,,Use sys.color.fg.strong instead,,,,,,,,,,
sys.color.text.stronger,sys,{base.palette.neutral.950},oklch(0.2308 0 0 / 1),,,Use sys.color.fg.strong instead,,,,,,,,,,
sys.color.text.disabled,sys,{base.palette.slate.400},oklch(0.754 0.0181 256.33 / 1),,,Use sys.opacity.disabled instead,,,,,,,,,,
sys.color.text.hint,sys,{base.palette.slate.600},oklch(0.5103 0.0255 256.8 / 1),,,Use sys.color.fg.muted.default instead,,,,,,,,,,
sys.color.text.inverse,sys,{base.palette.neutral.0},oklch(1 0 0 / 1),,,Use sys.color.fg.inverse instead,,,,,,,,,,
sys.color.text.critical.default,sys,{base.palette.red.600},oklch(0.5342 0.2172 29.53 / 1),,,Use sys.color.brand.fg.critical.default instead,,,,,,,,,,
sys.color.text.critical.strong,sys,{base.palette.red.700},oklch(0.4517 0.1847 28.2 / 1),,,Use sys.color.brand.fg.critical.strong instead,,,,,,,,,,
sys.color.text.critical.stronger,sys,{base.palette.red.800},oklch(0.3712 0.1509 26.08 / 1),,,Use sys.color.brand.fg.critical.strong instead,,,,,,,,,,
sys.color.text.critical.soft,sys,{base.palette.red.400},oklch(0.6857 0.2037 29.76 / 1),,,Use sys.color.fg.danger.default instead,,,,,,,,,,
sys.color.text.critical.softer,sys,{base.palette.red.200},oklch(0.8339 0.092 28.19 / 1),,,Use sys.color.fg.danger.default instead,,,,,,,,,,
sys.color.text.primary.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.brand.fg.primary.default instead,,,,,,,,,,
sys.color.text.primary.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.brand.fg.primary.strong instead,,,,,,,,,,
sys.color.text.primary.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.brand.fg.primary.strong instead,,,,,,,,,,
sys.color.text.primary.soft,sys,{base.palette.blue.400},oklch(0.708 0.1549 255.41 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.text.primary.softer,sys,{base.palette.blue.200},oklch(0.8627 0.0701 250.6 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.text.caution.default,sys,{base.palette.amber.900},oklch(0.32 0.098 41.19 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.text.caution.strong,sys,{base.palette.amber.950},oklch(0.2489 0.0771 40.64 / 1),,,Use sys.color.fg.contrast.strong instead,,,,,,,,,,
sys.color.text.caution.soft,sys,{base.palette.amber.400},oklch(0.7909 0.1711 70.15 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.text.caution.stronger,sys,{base.palette.amber.975},oklch(0.2165 0.0674 40.35 / 1),,,Use sys.color.fg.contrast.strong instead,,,,,,,,,,
sys.color.text.caution.softer,sys,{base.palette.amber.200},oklch(0.9191 0.1547 99.7 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.text.ai,sys,{base.palette.blue.950},oklch(0.2452 0.0752 254.55 / 1),,,Use sys.color.fg.ai instead,,,,,,,,,,
sys.color.text.positive.default,sys,{base.palette.green.600},oklch(0.5069 0.1569 145.56 / 1),,,Use sys.color.brand.fg.positive.default instead,,,,,,,,,,
sys.color.text.positive.strong,sys,{base.palette.green.700},oklch(0.4463 0.1422 144.58 / 1),,,Use sys.color.brand.fg.positive.strong instead,,,,,,,,,,
sys.color.text.positive.stronger,sys,{base.palette.green.800},oklch(0.3955 0.1156 147.66 / 1),,,Use sys.color.brand.fg.positive.strong instead,,,,,,,,,,
sys.color.text.positive.soft,sys,{base.palette.green.400},oklch(0.702 0.1952 148.39 / 1),,,Use sys.color.fg.success.default instead,,,,,,,,,,
sys.color.text.positive.softer,sys,{base.palette.green.200},oklch(0.8506 0.1804 149.93 / 1),,,Use sys.color.fg.success.default instead,,,,,,,,,,
sys.color.text.info.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.text.info.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.fg.info.strong instead,,,,,,,,,,
sys.color.text.info.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.fg.info.strong instead,,,,,,,,,,
sys.color.text.info.soft,sys,{base.palette.blue.400},oklch(0.708 0.1549 255.41 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.text.info.softer,sys,{base.palette.blue.200},oklch(0.8627 0.0701 250.6 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.icon.default,sys,{base.palette.neutral.800},oklch(0.3523 0 0 / 1),,,Use sys.color.fg.default instead,,,,,,,,,,
sys.color.icon.soft,sys,{base.palette.slate.600},oklch(0.5103 0.0255 256.8 / 1),,,Use sys.color.fg.muted.default instead,,,,,,,,,,
sys.color.icon.strong,sys,{base.palette.neutral.900},oklch(0.2891 0 0 / 1),,,Use sys.color.fg.muted.strong instead,,,,,,,,,,
sys.color.icon.inverse,sys,{base.palette.neutral.0},oklch(1 0 0 / 1),,,Use sys.color.fg.inverse instead,,,,,,,,,,
sys.color.icon.primary.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.brand.fg.primary.default instead,,,,,,,,,,
sys.color.icon.primary.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.brand.fg.primary.strong instead,,,,,,,,,,
sys.color.icon.primary.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.brand.fg.primary.strong instead,,,,,,,,,,
sys.color.icon.primary.soft,sys,{base.palette.blue.400},oklch(0.708 0.1549 255.41 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.icon.primary.softer,sys,{base.palette.blue.200},oklch(0.8627 0.0701 250.6 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.icon.positive.default,sys,{base.palette.green.600},oklch(0.5069 0.1569 145.56 / 1),,,Use sys.color.brand.fg.positive.default instead,,,,,,,,,,
sys.color.icon.positive.strong,sys,{base.palette.green.700},oklch(0.4463 0.1422 144.58 / 1),,,Use sys.color.brand.fg.positive.strong instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.icon.positive.stronger,sys,{base.palette.green.800},oklch(0.3955 0.1156 147.66 / 1),,,Use sys.color.brand.fg.positive.strong instead with sys.color.accent.overlay.pressed,,,,,,,,,,
sys.color.icon.positive.soft,sys,{base.palette.green.400},oklch(0.702 0.1952 148.39 / 1),,,Use sys.color.fg.success.default instead,,,,,,,,,,
sys.color.icon.positive.softer,sys,{base.palette.green.200},oklch(0.8506 0.1804 149.93 / 1),,,Use sys.color.fg.success.default instead,,,,,,,,,,
sys.color.icon.critical.default,sys,{base.palette.red.600},oklch(0.5342 0.2172 29.53 / 1),,,Use sys.color.brand.fg.critical.default instead,,,,,,,,,,
sys.color.icon.critical.strong,sys,{base.palette.red.700},oklch(0.4517 0.1847 28.2 / 1),,,Use sys.color.fg.danger.strong instead,,,,,,,,,,
sys.color.icon.critical.stronger,sys,{base.palette.red.800},oklch(0.3712 0.1509 26.08 / 1),,,Use sys.color.fg.danger.strong instead,,,,,,,,,,
sys.color.icon.critical.soft,sys,{base.palette.red.400},oklch(0.6857 0.2037 29.76 / 1),,,Use sys.color.fg.danger.default instead,,,,,,,,,,
sys.color.icon.critical.softer,sys,{base.palette.red.200},oklch(0.8339 0.092 28.19 / 1),,,Use sys.color.fg.danger.default instead,,,,,,,,,,
sys.color.icon.caution.default,sys,{base.palette.amber.900},oklch(0.32 0.098 41.19 / 1),,,Use sys.color.fg.contrast.default instead,,,,,,,,,,
sys.color.icon.caution.strong,sys,{base.palette.amber.950},oklch(0.2489 0.0771 40.64 / 1),,,Use sys.color.brand.fg.caution.default instead,,,,,,,,,,
sys.color.icon.caution.stronger,sys,{base.palette.amber.975},oklch(0.2165 0.0674 40.35 / 1),,,Use sys.color.brand.fg.caution.strong instead,,,,,,,,,,
sys.color.icon.caution.soft,sys,{base.palette.amber.700},oklch(0.4824 0.1353 46.11 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.icon.caution.softer,sys,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.icon.disabled,sys,{base.palette.slate.400},oklch(0.754 0.0181 256.33 / 1),,,Use sys.color.fg.disabled instead,,,,,,,,,,
sys.color.icon.info.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.icon.info.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.fg.info.strong instead,,,,,,,,,,
sys.color.icon.info.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.fg.info.strong instead,,,,,,,,,,
sys.color.fg.critical.default,sys,{base.palette.red.600},oklch(0.5342 0.2172 29.53 / 1),,,Use sys.color.brand.fg.critical.default instead,,,,,,,,,,
sys.color.fg.critical.strong,sys,{base.palette.red.700},oklch(0.4517 0.1847 28.2 / 1),,,Use sys.color.brand.fg.critical.strong instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.fg.critical.stronger,sys,{base.palette.red.800},oklch(0.3712 0.1509 26.08 / 1),,,Use sys.color.fg.danger.default tokens instead,,,,,,,,,,
sys.color.fg.critical.soft,sys,{base.palette.red.400},oklch(0.6857 0.2037 29.76 / 1),,,Use sys.color.fg.danger.default instead,,,,,,,,,,
sys.color.fg.critical.softer,sys,{base.palette.red.200},oklch(0.8339 0.092 28.19 / 1),,,Use sys.color.fg.danger.default instead,,,,,,,,,,
sys.color.fg.muted.stronger,sys,{base.palette.slate.800},oklch(0.3685 0.0218 256.4 / 1),,,Use sys.color.fg.muted.strong instead,,,,,,,,,,
sys.color.fg.muted.soft,sys,{base.palette.slate.400},oklch(0.754 0.0181 256.33 / 1),,,Use sys.color.fg.muted.default instead,,,,,,,,,,
sys.color.fg.primary.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.brand.fg.primary.default instead,,,,,,,,,,
sys.color.fg.primary.soft,sys,{base.palette.blue.400},oklch(0.708 0.1549 255.41 / 1),,,Use sys.color.fg.info.default or sys.color.brand.fg.primary.default instead,,,,,,,,,,
sys.color.fg.primary.softer,sys,{base.palette.blue.200},oklch(0.8627 0.0701 250.6 / 1),,,Use sys.color.fg.info.default or sys.color.brand.fg.primary.default instead,,,,,,,,,,
sys.color.fg.primary.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.brand.fg.primary.strong instead,,,,,,,,,,
sys.color.fg.primary.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use sys.color.brand.fg.primary.strong instead,,,,,,,,,,
sys.color.fg.caution.default,sys,{base.palette.amber.900},oklch(0.32 0.098 41.19 / 1),,,Use sys.color.brand.fg.caution.default instead,,,,,,,,,,
sys.color.fg.caution.strong,sys,{base.palette.amber.950},oklch(0.2489 0.0771 40.64 / 1),,,Use sys.color.brand.fg.caution.strong instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.fg.caution.soft,sys,{base.palette.amber.700},oklch(0.4824 0.1353 46.11 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.fg.caution.stronger,sys,{base.palette.amber.975},oklch(0.2165 0.0674 40.35 / 1),,,Use sys.color.fg.warning.strong instead,,,,,,,,,,
sys.color.fg.caution.softer,sys,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),,,Use sys.color.fg.warning.default instead,,,,,,,,,,
sys.color.fg.info.softer,sys,{base.palette.blue.200},oklch(0.8627 0.0701 250.6 / 1),,,Use sys.color.fg.ai instead,,,,,,,,,,
sys.color.fg.info.soft,sys,{base.palette.blue.400},oklch(0.708 0.1549 255.41 / 1),,,Use sys.color.fg.info.default instead,,,,,,,,,,
sys.color.fg.info.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use sys.color.fg.info.strong instead,,,,,,,,,,
sys.color.fg.positive.default,sys,{base.palette.green.600},oklch(0.5069 0.1569 145.56 / 1),,,Use sys.color.brand.fg.positive.default instead,,,,,,,,,,
sys.color.fg.positive.softer,sys,{base.palette.green.200},oklch(0.8506 0.1804 149.93 / 1),,,Use sys.color.fg.success.default instead,,,,,,,,,,
sys.color.fg.positive.soft,sys,{base.palette.green.400},oklch(0.702 0.1952 148.39 / 1),,,Use sys.color.fg.success.default instead,,,,,,,,,,
sys.color.fg.positive.strong,sys,{base.palette.green.700},oklch(0.4463 0.1422 144.58 / 1),,,Use sys.color.brand.fg.positive.strong instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.fg.positive.stronger,sys,{base.palette.green.800},oklch(0.3955 0.1156 147.66 / 1),,,Use sys.color.brand.fg.positive.strong instead with sys.color.accent.overlay.pressed,,,,,,,,,,
sys.color.border.ai,sys,{base.palette.blue.950},oklch(0.2452 0.0752 254.55 / 1),,,Use sys.color.accent.ai instead,,,,,,,,,,
sys.color.border.input.disabled,sys,{base.palette.slate.400},oklch(0.754 0.0181 256.33 / 1),,,Use sys.color.fg.disabled instead,,,,,,,,,,
sys.color.border.input.strong,sys,{base.palette.slate.700},oklch(0.45 0.022 255.52 / 1),,,Use sys.color.border.input.hover instead,,,,,,,,,,
sys.color.border.input.inverse,sys,{base.palette.neutral.0},oklch(1 0 0 / 1),,,Use sys.color.border.inverse.default instead,,,,,,,,,,
sys.color.border.contrast.strong,sys,{base.palette.neutral.950},oklch(0.2308 0 0 / 1),,,Use sys.color.border.contrast.default instead,,,,,,,,,,
sys.color.border.critical.default,sys,{base.palette.red.500},oklch(0.6495 0.2369 30.04 / 1),,,Use sys.color.brand.border.critical instead,,,,,,,,,,
sys.color.border.caution.default,sys,{base.palette.amber.400},oklch(0.7909 0.1711 70.15 / 1),,,Use sys.color.brand.focus.caution.inner instead,,,,,,,,,,
sys.color.border.caution.strong,sys,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),,,Use sys.color.brand.focus.caution.outer instead,,,,,,,,,,
sys.color.border.divider,sys,{base.palette.slate.200},oklch(0.917 0.0081 254 / 1),,,Use sys.color.border.default instead,,,,,,,,,,
sys.color.border.primary.default,sys,{base.palette.blue.500},oklch(0.6023 0.2032 255.68 / 1),,,Use sys.color.brand.border.primary instead,,,,,,,,,,
sys.color.border.container,sys,{base.palette.slate.300},oklch(0.856 0.0111 256.85 / 1),,,Use sys.color.border.strong instead,,,,,,,,,,
sys.color.shadow.1,sys,{sys.color.shadow.base},oklch(0.3057 0.079 256.22 / 0.13),,,Use sys.color.shadow.base instead,,,,,,,,,,
sys.color.shadow.2,sys,{sys.color.shadow.ambient},oklch(0.3337 0.0688 250.79 / 0.09),,,Use sys.color.shadow.ambient instead,,,,,,,,,,
sys.color.shadow.default,sys,{sys.color.shadow.base},oklch(0.3057 0.079 256.22 / 0.13),,,Use sys.color.shadow.base instead,,,,,,,,,,
sys.color.static.gold.stronger,sys,{base.palette.amber.600},oklch(0.5505 0.1439 50.78 / 1),,,replace static.gold.stronger with {sys.color.static.amber.stronger}. Prefer to replace with `sys.color.bg.caution.stronger` if used as a background color.,,,,,,,,,,
sys.color.static.orange.default,sys,{base.palette.amber.400},oklch(0.7909 0.1711 70.15 / 1),,,replace static.orange.default with {sys.color.static.amber.default}. Prefer to replace with `sys.color.bg.caution.default` if used as a background color.,,,,,,,,,,
sys.color.static.orange.soft,sys,{base.palette.amber.100},oklch(0.9567 0.0948 100.22 / 1),,,replace static.orange.soft with {sys.color.static.amber.soft}. Prefer to replace with `sys.color.bg.caution.soft` if used as a background color.,,,,,,,,,,
sys.color.static.orange.strong,sys,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),,,replace static.orange.strong with {sys.color.static.amber.strong}. Prefer to replace with `sys.color.bg.caution.strong` if used as a background color.,,,,,,,,,,
sys.color.static.blue.default,sys,{base.palette.blue.600},oklch(0.5198 0.1782 256.11 / 1),,,Use sys.color.accent.info instead,,,,,,,,,,
sys.color.static.blue.softest,sys,{base.palette.blue.25},oklch(0.969 0.0155 248.07 / 1),,,Use palette.blue tokens directly instead,,,,,,,,,,
sys.color.static.blue.strong,sys,{base.palette.blue.700},oklch(0.4658 0.1562 255.5 / 1),,,Use palette.blue tokens directly instead,,,,,,,,,,
sys.color.static.blue.stronger,sys,{base.palette.blue.800},oklch(0.3908 0.128 256 / 1),,,Use palette.blue tokens directly instead,,,,,,,,,,
sys.color.static.blue.softer,sys,{base.palette.blue.50},oklch(0.9523 0.0239 248.12 / 1),,,Use palette.blue tokens directly instead,,,,,,,,,,
sys.color.static.blue.soft,sys,{base.palette.blue.100},oklch(0.928 0.0359 250.6 / 1),,,Use palette.blue tokens directly instead,,,,,,,,,,
sys.color.static.blue.strongest,sys,{base.palette.blue.950},oklch(0.2452 0.0752 254.55 / 1),,,Use palette.blue tokens directly instead,,,,,,,,,,
sys.color.static.green.default,sys,{base.palette.green.600},oklch(0.5069 0.1569 145.56 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.green.soft,sys,{base.palette.green.100},oklch(0.9278 0.1024 149.88 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.green.strong,sys,{base.palette.green.700},oklch(0.4463 0.1422 144.58 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.green.softer,sys,{base.palette.green.50},oklch(0.9655 0.0561 149.93 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.green.stronger,sys,{base.palette.green.800},oklch(0.3955 0.1156 147.66 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.green.softest,sys,{base.palette.green.25},oklch(0.9824 0.0282 148.77 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.green.strongest,sys,{base.palette.green.950},oklch(0.2548 0.0796 145.23 / 1),,,Use palette.green tokens directly instead,,,,,,,,,,
sys.color.static.red.default,sys,{base.palette.red.600},oklch(0.5342 0.2172 29.53 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.red.soft,sys,{base.palette.red.100},oklch(0.9225 0.0394 25.51 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.red.strong,sys,{base.palette.red.700},oklch(0.4517 0.1847 28.2 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.red.stronger,sys,{base.palette.red.800},oklch(0.3712 0.1509 26.08 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.red.softest,sys,{base.palette.red.25},oklch(0.9667 0.0163 21.82 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.red.strongest,sys,{base.palette.red.950},oklch(0.2318 0.0937 24.02 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.red.softer,sys,{base.palette.red.50},oklch(0.9533 0.0231 23.95 / 1),,,Use palette.red tokens directly instead,,,,,,,,,,
sys.color.static.white,sys,{base.palette.neutral.0},oklch(1 0 0 / 1),,,Use palette.neutral.0 directly instead,,,,,,,,,,
sys.color.static.black,sys,{base.palette.neutral.1000},oklch(0 0 0 / 1),,,Use palette.neutral.1000 directly instead,,,,,,,,,,
sys.color.static.gray.default,sys,{base.palette.slate.600},oklch(0.5103 0.0255 256.8 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.gray.soft,sys,{base.palette.slate.200},oklch(0.917 0.0081 254 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.gray.strong,sys,{base.palette.slate.700},oklch(0.45 0.022 255.52 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.gray.stronger,sys,{base.palette.slate.800},oklch(0.3685 0.0218 256.4 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.gray.strongest,sys,{base.palette.slate.950},oklch(0.2453 0.0136 253.1 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.gray.softest,sys,{base.palette.slate.50},oklch(0.9692 0.0035 248.23 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.gray.softer,sys,{base.palette.slate.100},oklch(0.9447 0.0053 248.12 / 1),,,Use palette.slate tokens directly instead,,,,,,,,,,
sys.color.static.amber.default,sys,{base.palette.amber.400},oklch(0.7909 0.1711 70.15 / 1),,,Use sys.color.accent.warning token instead,,,,,,,,,,
sys.color.static.amber.softest,sys,{base.palette.amber.25},oklch(0.9779 0.0214 95.33 / 1),,,Use sys.color.accent.warning instead,,,,,,,,,,
sys.color.static.amber.strong,sys,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),,,Use sys.color.accent.warning instead,,,,,,,,,,
sys.color.static.amber.stronger,sys,{base.palette.amber.600},oklch(0.5505 0.1439 50.78 / 1),,,Use sys.color.accent.warning instead,,,,,,,,,,
sys.color.static.amber.softer,sys,{base.palette.amber.50},oklch(0.969 0.0619 101.63 / 1),,,Use palette.amber tokens directly instead,,,,,,,,,,
sys.color.static.amber.strongest,sys,{base.palette.amber.950},oklch(0.2489 0.0771 40.64 / 1),,,Use sys.color.fg.warning.strong instead,,,,,,,,,,
sys.color.static.amber.soft,sys,{base.palette.amber.100},oklch(0.9567 0.0948 100.22 / 1),,,Use sys.color.surface.warning.strong instead,,,,,,,,,,
